,PIDM,CohortTrm,A/C,Cons/SO,TermsElpsd,TermsAtt,CumCrAtt,CumCrErn,CumCrTran,CrAtt/Term,CrErn/Term,SEX,Eth,EthComputed,Citz,BDate,Age,GradAge,DegC,Maj,Prog,Div,ProgCredits_x,CreditGrp,CtlgYr,DegDte,GradAcadYr,FirstDeg,Minor,FTrmCrAtt,TotalNumCourses,RepeatedNumCourses,NumCE,NumCR,NumNC,SuccessNum,NotSuccessNum,<100,100s,200s,300s,>1000,FYrCreditsAttained,FYrCreditsEarned,Bulletin Year,CumCrEarnedWCC,ExcessCr,PELL,CumGPA
0,532954,200101,A,Cons,2.0,2.0,28.0,73.0,45.0,14.0,14.0,F,W,W,Y,1979-05-03,21.0,21.0,AAS,PHOT,APPHOT,BCT,61.0,60-75,2000.0,2001-04-30,2001.0,1,,200009,9.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,28.0,28.0,2001.0,28.0,12.0,0,3.292857143
1,544910,200101,A,Cons,2.0,2.0,24.0,68.0,44.0,12.0,12.0,M,W,W,F,1976-11-22,23.0,24.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-04-30,2001.0,1,,200009,9.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,8.0,1.0,0.0,0.0,24.0,24.0,2001.0,24.0,8.0,0,3.383333333
2,549042,200101,A,Cons,2.0,2.0,30.0,60.0,30.0,15.0,15.0,M,H,H,F,1973-01-28,27.0,28.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-04-30,2001.0,1,,200009,11.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,10.0,1.0,0.0,0.0,34.0,34.0,2001.0,30.0,0.0,0,3.4733333330000002
3,558488,200101,A,Cons,1.0,1.0,16.0,16.0,0.0,16.0,16.0,F,W,W,F,1978-01-05,22.0,23.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2001-04-30,2001.0,1,,200101,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,16.0,2001.0,16.0,-44.0,0,3.94375
4,198722,200105,A,Cons,3.0,3.0,28.0,67.0,39.0,9.33333333333333,9.33333333333333,M,W,W,Y,1968-08-28,32.0,32.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-08-22,2001.0,1,,200009,9.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,8.0,1.0,0.0,0.0,28.0,28.0,2001.0,28.0,7.0,0,3.3625
5,536784,200105,A,Cons,3.0,3.0,45.0,90.0,45.0,15.0,15.0,F,W,W,Y,1954-08-13,46.0,47.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-08-22,2001.0,1,,200009,13.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,10.0,3.0,0.0,0.0,45.0,45.0,2001.0,45.0,30.0,0,3.9666666669999997
6,542193,200105,A,Cons,3.0,3.0,37.0,65.0,31.0,12.3333333333333,11.3333333333333,M,W,W,Y,1972-02-01,28.0,29.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-08-22,2001.0,1,,200009,12.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0,9.0,3.0,0.0,0.0,37.0,34.0,2001.0,34.0,5.0,0,3.777777778
7,543475,200105,A,Cons,3.0,3.0,35.0,66.0,31.0,11.6666666666667,11.6666666666667,F,W,W,Y,1969-04-03,31.0,32.0,AAS,DAC,APDAC,HLT,38.0,60-75,2000.0,2001-08-22,2001.0,1,,200009,17.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,14.0,3.0,0.0,0.0,35.0,35.0,2001.0,35.0,28.0,0,3.958333333
8,543541,200105,A,Cons,3.0,3.0,30.0,75.0,48.0,10.0,9.0,F,W,W,Y,1978-04-14,22.0,23.0,AAS,RAD,RAD,HLT,70.0,60-75,1999.0,2001-06-28,2001.0,1,,200009,11.0,1.0,0.0,11.0,0.0,10.0,0.0,0.0,3.0,8.0,0.0,0.0,30.0,27.0,2001.0,27.0,5.0,0,2.4125
9,513135,200109,A,Cons,4.0,2.0,17.0,63.0,46.0,8.5,8.5,M,W,W,Y,1973-01-24,27.0,28.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200009,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,17.0,17.0,2002.0,17.0,3.0,0,3.227777778
